Date,DateTime,Open,High,Low,Close,Volume
2023-03-17,2023-03-17 13:00:00,0.715,74.0,71.0,0.73,1733.84
2023-03-17,2023-03-17 13:30:00,0.73,74.0,72.0,0.7242,251.63
2023-03-17,2023-03-17 14:00:00,0.72,73.0,72.0,0.715,636.26
2023-03-17,2023-03-17 14:30:00,0.715,73.0,71.0,0.72,1341.94
2023-03-20,2023-03-20 08:30:00,0.76,76.0,73.0,0.7425,2970.26
2023-03-20,2023-03-20 09:00:00,0.7459,78.0,74.0,0.7677,2762.96
2023-03-20,2023-03-20 09:30:00,0.7678,77.0,76.0,0.7621,1259.06
2023-03-20,2023-03-20 10:00:00,0.7603,76.0,73.0,0.75,736.16
2023-03-20,2023-03-20 10:30:00,0.7546,77.0,73.0,0.732,1459.47
2023-03-20,2023-03-20 11:00:00,0.7321,75.0,71.0,0.7142,1434.83
2023-03-20,2023-03-20 11:30:00,0.7142,72.0,71.0,0.7199,363.82
2023-03-20,2023-03-20 12:00:00,0.7155,74.0,71.0,0.73,1332.19
2023-03-20,2023-03-20 12:30:00,0.73,73.0,72.0,0.722,352.55
2023-03-20,2023-03-20 13:00:00,0.722,73.0,72.0,0.7258,613.62
2023-03-20,2023-03-20 13:30:00,0.72,73.0,72.0,0.7276,657.23
2023-03-20,2023-03-20 14:00:00,0.7256,74.0,72.0,0.72,2006.36
2023-03-20,2023-03-20 14:30:00,0.72,74.0,70.0,0.7051,6397.91
2023-03-21,2023-03-21 08:30:00,0.714,72.0,67.0,0.695,5306.69
2023-03-21,2023-03-21 09:00:00,0.6973,70.0,68.0,0.6949,4332.01
2023-03-21,2023-03-21 09:30:00,0.695,72.0,69.0,0.7001,1508.78
2023-03-21,2023-03-21 10:00:00,0.71,72.0,70.0,0.7075,1780.16
2023-03-21,2023-03-21 10:30:00,0.7187,72.0,71.0,0.724,305.11
2023-03-21,2023-03-21 11:00:00,0.7141,73.0,71.0,0.715,841.01
2023-03-21,2023-03-21 11:30:00,0.728,73.0,71.0,0.725,150.98
2023-03-21,2023-03-21 12:00:00,0.7225,72.0,70.0,0.7124,979.04
2023-03-21,2023-03-21 12:30:00,0.7118,71.0,70.0,0.7075,559.96
2023-03-21,2023-03-21 13:00:00,0.7099,72.0,70.0,0.7197,325.91
2023-03-21,2023-03-21 13:30:00,0.7103,72.0,69.0,0.702,1510.08
2023-03-21,2023-03-21 14:00:00,0.7099,71.0,69.0,0.7097,384.35
2023-03-21,2023-03-21 14:30:00,0.702,72.0,70.0,0.7144,689.1
2023-03-22,2023-03-22 08:30:00,0.7,72.0,68.0,0.6928,1185.29
2023-03-22,2023-03-22 09:00:00,0.69,69.0,67.0,0.6799,2891.61
2023-03-22,2023-03-22 09:30:00,0.674,68.0,65.0,0.656,3053.99
2023-03-22,2023-03-22 10:00:00,0.6551,67.0,66.0,0.6747,657.92
2023-03-22,2023-03-22 10:30:00,0.675,68.0,67.0,0.675,596.86
2023-03-22,2023-03-22 11:00:00,0.675,68.0,67.0,0.67,452.91
2023-03-22,2023-03-22 11:30:00,0.6711,67.0,66.0,0.6586,1106.15
2023-03-22,2023-03-22 12:00:00,0.6605,67.0,66.0,0.6628,744.03
2023-03-22,2023-03-22 12:30:00,0.6638,67.0,66.0,0.6575,1031.16
2023-03-22,2023-03-22 13:00:00,0.6575,67.0,66.0,0.656,1678.77
2023-03-22,2023-03-22 13:30:00,0.6638,68.0,66.0,0.6784,744.68
2023-03-22,2023-03-22 14:00:00,0.6698,67.0,66.0,0.6648,364.9
2023-03-22,2023-03-22 14:30:00,0.6624,66.0,64.0,0.6433,2141.87
2023-03-23,2023-03-23 08:30:00,0.67,67.0,65.0,0.6591,972.48
2023-03-23,2023-03-23 09:00:00,0.6555,66.0,65.0,0.66,350.96
2023-03-23,2023-03-23 09:30:00,0.6599,68.0,65.0,0.6746,755.5
2023-03-23,2023-03-23 10:00:00,0.67,72.0,67.0,0.7199,3157.86
2023-03-23,2023-03-23 10:30:00,0.7199,72.0,68.0,0.695,1586.94
2023-03-23,2023-03-23 11:00:00,0.6924,69.0,68.0,0.681,118.73
2023-03-23,2023-03-23 11:30:00,0.69,69.0,68.0,0.6896,123.16
2023-03-23,2023-03-23 12:00:00,0.6899,69.0,68.0,0.6823,171.55
2023-03-23,2023-03-23 12:30:00,0.6899,69.0,67.0,0.6745,839.47
2023-03-23,2023-03-23 13:00:00,0.6745,68.0,66.0,0.6698,450.61
2023-03-23,2023-03-23 13:30:00,0.6697,67.0,66.0,0.66,489.76
2023-03-23,2023-03-23 14:00:00,0.6689,67.0,66.0,0.66,190.6
2023-03-23,2023-03-23 14:30:00,0.6601,67.0,65.0,0.651,860.43
2023-03-24,2023-03-24 08:30:00,0.669,67.0,64.0,0.6415,1503.12
2023-03-24,2023-03-24 09:00:00,0.6506,66.0,63.0,0.64,1405.64
2023-03-24,2023-03-24 09:30:00,0.6397,65.0,63.0,0.637,1673.59
2023-03-24,2023-03-24 10:00:00,0.6399,65.0,63.0,0.6454,367.75
2023-03-24,2023-03-24 10:30:00,0.6449,65.0,64.0,0.64,976.29
2023-03-24,2023-03-24 11:00:00,0.648,65.0,64.0,0.64,197.08
2023-03-24,2023-03-24 11:30:00,0.64,65.0,63.0,0.6368,1147.3
2023-03-24,2023-03-24 12:00:00,0.6322,64.0,63.0,0.635,404.7
