Date,DateTime,Open,High,Low,Close,Volume,Date
2023-03-10,2023-03-10 09:30:00,0.8,0.8389,0.777,0.7812,3937.57,2023-03-10
2023-03-10,2023-03-10 10:00:00,0.7812,0.7949,0.7601,0.7737,3668.46,2023-03-10
2023-03-10,2023-03-10 10:30:00,0.7706,0.7945,0.762,0.79,1638.41,2023-03-10
2023-03-10,2023-03-10 11:00:00,0.7899,0.79,0.7701,0.78,760.56,2023-03-10
2023-03-10,2023-03-10 11:30:00,0.7763,0.7944,0.7763,0.7801,1070.3,2023-03-10
2023-03-10,2023-03-10 12:00:00,0.7801,0.7899,0.771,0.771,1261.73,2023-03-10
2023-03-10,2023-03-10 12:30:00,0.771,0.7744,0.769,0.771,997.98,2023-03-10
2023-03-10,2023-03-10 13:00:00,0.7715,0.7715,0.762,0.769,483.63,2023-03-10
2023-03-10,2023-03-10 13:30:00,0.769,0.7839,0.762,0.77,978.58,2023-03-10
2023-03-10,2023-03-10 14:00:00,0.77,0.7749,0.759,0.7611,994.67,2023-03-10
2023-03-10,2023-03-10 14:30:00,0.762,0.7699,0.75,0.76,1617.82,2023-03-10
2023-03-10,2023-03-10 15:00:00,0.76,0.77,0.7501,0.7595,1555.65,2023-03-10
2023-03-10,2023-03-10 15:30:00,0.7578,0.835,0.7502,0.826,3202.0,2023-03-10
2023-03-13,2023-03-13 08:30:00,0.77,0.79,0.7,0.7559,3751.28,2023-03-13
2023-03-13,2023-03-13 09:00:00,0.7509,0.7618,0.74,0.7451,654.88,2023-03-13
2023-03-13,2023-03-13 09:30:00,0.745,0.7581,0.74,0.7465,1113.91,2023-03-13
2023-03-13,2023-03-13 10:00:00,0.7425,0.7625,0.74,0.7552,849.08,2023-03-13
2023-03-13,2023-03-13 10:30:00,0.7586,0.762,0.74,0.7475,1142.94,2023-03-13
2023-03-13,2023-03-13 11:00:00,0.745,0.7609,0.745,0.7551,465.84,2023-03-13
2023-03-13,2023-03-13 11:30:00,0.755,0.76,0.735,0.735,570.04,2023-03-13
2023-03-13,2023-03-13 12:00:00,0.737,0.7499,0.735,0.74,774.22,2023-03-13
2023-03-13,2023-03-13 12:30:00,0.738,0.7527,0.735,0.7513,244.57,2023-03-13
2023-03-13,2023-03-13 13:00:00,0.7526,0.762,0.75,0.7551,287.08,2023-03-13
2023-03-13,2023-03-13 13:30:00,0.762,0.7654,0.762,0.7648,768.04,2023-03-13
2023-03-13,2023-03-13 14:00:00,0.7648,0.7748,0.751,0.751,876.58,2023-03-13
2023-03-13,2023-03-13 14:30:00,0.7559,0.789,0.75,0.78,1292.05,2023-03-13
2023-03-14,2023-03-14 08:30:00,0.76,0.7869,0.757,0.7611,1271.38,2023-03-14
2023-03-14,2023-03-14 09:00:00,0.7614,0.7785,0.761,0.77,597.06,2023-03-14
2023-03-14,2023-03-14 09:30:00,0.7709,0.78,0.765,0.7701,535.18,2023-03-14
2023-03-14,2023-03-14 10:00:00,0.7701,0.7701,0.75,0.75,863.52,2023-03-14
